Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,16572,16573,16416,16441,16441,80960000
2014-01-03,16457,16519,16439,16470,16470,72770000
2014-01-06,16474,16533,16406,16425,16425,89380000
2014-01-07,16429,16562,16429,16531,16531,81270000
2014-01-08,16528,16529,16417,16463,16463,103260000
2014-01-09,16471,16525,16379,16445,16445,83990000
2014-01-10,16454,16488,16379,16437,16437,85190000
2014-01-13,16434,16453,16241,16258,16258,111680000
2014-01-14,16262,16374,16261,16374,16374,98610000
2014-01-15,16378,16505,16377,16482,16482,101130000
2014-01-16,16478,16478,16376,16417,16417,87370000
2014-01-17,16408,16495,16379,16459,16459,184970000
2014-01-21,16459,16521,16316,16414,16414,111570000
2014-01-22,16420,16453,16333,16373,16373,87470000
2014-01-23,16372,16373,16141,16197,16197,100540000
2014-01-24,16203,16203,15879,15879,15879,141450000
2014-01-27,15879,15943,15784,15838,15838,127540000
2014-01-28,15841,15946,15841,15929,15929,89110000
2014-01-29,15927,15927,15709,15739,15739,109590000
2014-01-30,15743,15908,15733,15849,15849,92100000
2014-01-31,15847,15847,15618,15699,15699,137090000
2014-02-03,15698,15709,15356,15373,15373,151050000
2014-02-04,15373,15482,15357,15445,15445,124110000
2014-02-05,15443,15478,15341,15440,15440,105130000
2014-02-06,15444,15632,15443,15629,15629,106980000
2014-02-07,15631,15799,15626,15794,15794,105780000
2014-02-10,15794,15802,15734,15802,15802,84110000
2014-02-11,15804,16027,15803,15995,15995,95930000
2014-02-12,15993,16037,15929,15964,15964,77310000
2014-02-13,15947,16039,15863,16028,16028,99470000
2014-02-14,16018,16176,15985,16154,16154,84060000
2014-02-18,16154,16167,16107,16130,16130,91250000
2014-02-19,16126,16226,16032,16041,16041,80560000
2014-02-20,16044,16162,16007,16133,16133,77720000
2014-02-21,16136,16192,16094,16103,16103,126580000
2014-02-24,16102,16300,16102,16207,16207,244580000
2014-02-25,16207,16254,16147,16180,16180,99470000
2014-02-26,16180,16252,16156,16198,16198,93980000
2014-02-27,16198,16276,16160,16273,16273,97640000
2014-02-28,16273,16399,16226,16322,16322,122110000
2014-03-03,16322,16322,16071,16168,16168,92760000
2014-03-04,16169,16419,16169,16396,16396,96120000
2014-03-05,16396,16407,16344,16360,16360,73980000
2014-03-06,16361,16450,16361,16422,16422,75900000
2014-03-07,16425,16506,16399,16453,16453,80690000
2014-03-10,16453,16453,16334,16419,16419,68210000
2014-03-11,16419,16460,16325,16351,16351,78150000
2014-03-12,16351,16365,16260,16340,16340,77900000
2014-03-13,16342,16405,16084,16109,16109,86160000
2014-03-14,16106,16165,16047,16066,16066,85660000
2014-03-17,16066,16270,16066,16247,16247,88930000
2014-03-18,16246,16370,16246,16336,16336,79140000
2014-03-19,16336,16363,16126,16222,16222,90110000
2014-03-20,16222,16354,16160,16331,16331,91530000
2014-03-21,16333,16456,16291,16303,16303,353670000
2014-03-24,16303,16381,16216,16277,16277,110620000
2014-03-25,16279,16407,16279,16368,16368,89110000
2014-03-26,16371,16466,16269,16269,16269,92770000
2014-03-27,16269,16301,16192,16264,16264,93650000
2014-03-28,16268,16415,16268,16323,16323,86370000
2014-03-31,16324,16481,16324,16458,16458,104510000
2014-04-01,16458,16566,16458,16533,16533,88010000
2014-04-02,16533,16588,16507,16573,16573,78120000
2014-04-03,16572,16604,16528,16573,16573,77220000
2014-04-04,16576,16632,16393,16413,16413,104350000
2014-04-07,16414,16421,16244,16246,16246,116540000
2014-04-08,16245,16297,16180,16256,16256,98510000
2014-04-09,16256,16439,16256,16437,16437,91550000
2014-04-10,16437,16456,16153,16170,16170,112550000
2014-04-11,16169,16169,16015,16027,16027,119550000
2014-04-14,16028,16185,16028,16173,16173,90020000
2014-04-15,16173,16273,16063,16263,16263,97850000
2014-04-16,16266,16425,16266,16425,16425,94650000
2014-04-17,16424,16460,16368,16409,16409,136190000
2014-04-21,16409,16460,16402,16449,16449,79500000
2014-04-22,16449,16566,16449,16514,16514,84830000
2014-04-23,16514,16526,16477,16502,16502,76830000
2014-04-24,16503,16541,16452,16502,16502,80340000
2014-04-25,16503,16503,16334,16361,16361,90630000
2014-04-28,16363,16500,16313,16449,16449,105510000
2014-04-29,16451,16559,16451,16535,16535,71240000
2014-04-30,16535,16592,16511,16581,16581,92970000
2014-05-01,16580,16605,16525,16559,16559,75630000
2014-05-02,16562,16620,16488,16513,16513,78910000
2014-05-05,16510,16548,16377,16531,16531,70320000
2014-05-06,16530,16530,16400,16401,16401,74340000
2014-05-07,16402,16523,16357,16519,16519,93870000
2014-05-08,16518,16623,16502,16551,16551,75620000
2014-05-09,16551,16589,16499,16583,16583,74980000
2014-05-12,16585,16705,16585,16695,16695,71550000
2014-05-13,16696,16736,16696,16715,16715,71340000
2014-05-14,16716,16718,16595,16614,16614,71970000
2014-05-15,16614,16623,16397,16447,16447,106610000
2014-05-16,16447,16499,16414,16491,16491,119330000
2014-05-19,16490,16526,16442,16512,16512,82180000
2014-05-20,16511,16511,16341,16374,16374,75150000
2014-05-21,16376,16545,16376,16533,16533,76730000
2014-05-22,16533,16565,16490,16543,16543,59250000
2014-05-23,16544,16613,16544,16606,16606,61340000
2014-05-27,16607,16689,16607,16676,16676,80870000
2014-05-28,16675,16675,16620,16633,16633,62480000
2014-05-29,16638,16699,16620,16699,16699,55500000
2014-05-30,16697,16721,16649,16717,16717,105190000
2014-06-02,16717,16757,16682,16744,16744,57560000
2014-06-03,16737,16737,16690,16722,16722,67830000
